level2_cluster,display_column,level1,n_cells
CD4_cl1,0,CD4,41283
CD4_cl2,1,CD4,35751
CD4_cl3,2,CD4,48090
CD4_cl4,3,CD4,8683
CD4_cl5,4,CD4,5267
CD4_cl7,5,CD4,7292
CD4_cl9,6,CD4,19904
CD4_cl10,7,CD4,1131
CD4_cl12,8,CD4,939
CD4_cl13,9,CD4,5520
CD4_cl14,10,CD4,11775
CD4_cl15,11,CD4,2323
CD4_cl16,12,CD4,455
CD4_cl17,13,CD4,3296
CD4_cl18,14,CD4,1259
CD4_cl20,15,CD4,78
CD4_cl21,16,CD4,19539
CD4_cl22,17,CD4,3072
CD4_cl23,18,CD4,1674
CD4_cl25,19,CD4,1227
CD4_cl28,20,CD4,782
CD4_miniverse,21,CD4,17865
CD4_prolif,22,CD4,4939
CD8_cl1,23,CD8,64761
CD8_cl2,24,CD8,22454
CD8_cl4,25,CD8,16952
CD8_cl5,26,CD8,518
CD8_cl6,27,CD8,924
CD8_cl7,28,CD8,7223
CD8_cl10,29,CD8,15089
CD8_cl11,30,CD8,1673
CD8_cl12,31,CD8,14517
CD8_cl13,32,CD8,7463
CD8_cl14,33,CD8,3751
CD8_cl15,34,CD8,9004
CD8_cl18,35,CD8,1360
CD8_cl20,36,CD8,255
CD8_cl22,37,CD8,5055
CD8_cl25,38,CD8,518
CD8_cl26,39,CD8,1673
CD8_cl27,40,CD8,4244
CD8_cl28,41,CD8,2454
CD8_miniverse,42,CD8,10669
CD8_prolif,43,CD8,9054
Treg_cl1,44,Treg,11770
Treg_cl2,45,Treg,8437
Treg_cl3,46,Treg,6184
Treg_cl4,47,Treg,5709
Treg_cl6,48,Treg,1952
Treg_cl7,49,Treg,611
Treg_cl8,50,Treg,3526
Treg_miniverse,51,Treg,1173
Treg_prolif,52,Treg,4212
gdT_cl2,53,gdT,10343
gdT_cl4,54,gdT,5443
gdT_cl5,55,gdT,2857
gdT_cl7,56,gdT,3517
gdT_cl9,57,gdT,2071
gdT_cl10,58,gdT,3041
gdT_cl11,59,gdT,2876
gdT_cl12,60,gdT,9647
gdT_cl23,61,gdT,2911
gdT_cl26,62,gdT,1391
gdT_cl28,63,gdT,861
gdT_cl33,64,gdT,83
gdT_cl35,65,gdT,6504
gdT_cl42,66,gdT,5740
gdT_cl43,67,gdT,2114
gdT_cl46,68,gdT,951
gdT_cl50,69,gdT,31
gdT_52,70,gdT,3435
gdT_53,71,gdT,2
gdT_54,72,gdT,772
gdT_miniverse,73,gdT,3118
gdT_prolif,74,gdT,3823
CD8aa_cl1,75,CD8aa,14151
CD8aa_cl16,76,CD8aa,2271
CD8aa_cl20,77,CD8aa,1502
CD8aa_cl40,78,CD8aa,5677
CD8aa_cl56,79,CD8aa,3066
CD8aa_miniverse,80,CD8aa,624
CD8aa_prolif,81,CD8aa,1054
DN_cl3,82,DN,3380
DN_cl15,83,DN,1181
DN_cl18,84,DN,1199
DN_cl29,85,DN,5781
DN_cl31,86,DN,134
DN_cl34,87,DN,390
DN_cl39,88,DN,4253
DN_cl41,89,DN,3939
DN_cl57,90,DN,172
DN_cl58,91,DN,907
DN_miniverse,92,DN,1338
DN_prolif,93,DN,762
nonconv_cl8,94,nonconv,3077
nonconv_cl13,95,nonconv,2482
nonconv_cl17,96,nonconv,1372
nonconv_cl21,97,nonconv,8824
nonconv_cl24,98,nonconv,1464
nonconv_cl55,99,nonconv,400
nonconv_miniverse,100,nonconv,958
nonconv_prolif,101,nonconv,319
DP_cl14,102,DP,6
DP_cl51,103,DP,1862
DP_cl59,104,DP,842
DP_cl60,105,DP,1025
DP_cl61,106,DP,761
DP_cl62,107,DP,622
DP_cl63,108,DP,81
DP_cl64,109,DP,53
DP_cl65,110,DP,29
DP_miniverse,111,DP,353
DP_prolif,112,DP,375
thymocyte,113,thymocyte,138
